nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
9240	1270598671	-8	97	0x1d008cf9	4294966709	486575353
9270	1270603128	1	-132	0x1d008ec8	4294967049	486575816
9300	1270607450	60	-75	0x1d0085a5	1829	486573477
9330	1270611725	0	-86	0x1d00822c	1059	486572588
9360	1270616419	29	85	0x1d0084be	4294966964	486573246
9390	1270621195	49	20	0x1d008f08	4294965723	486575880
9420	1270626107	29	289	0x1d009540	4294965597	486577472
9450	1270630325	-42	-119	0x1d0094c5	661	486577349
9480	1270634556	-36	-248	0x1d008e33	408	486575667
9510	1270639027	-5	-64	0x1d008b0e	52	486574862
9540	1270643353	17	11	0x1d0083c4	1222	486572996
9570	1270647795	-59	-203	0x1d00894e	4294966857	486574414
9600	1270652330	-44	177	0x1d0083cf	4294966791	486573007
9630	1270656809	-47	-104	0x1d0084ad	4294967164	486573229
9660	1270661320	23	91	0x1d0081d0	182	486572496
9690	1270665053	-44	-421	0x1c77b9f6	8963988	477608438
9720	1270669127	19	-381	0x1c6d2ca4	345201	476916900
9750	1270673514	46	-35	0x1c67f691	4906	476575377
9780	1270678146	5	119	0x1c68bc02	4294867314	476625922
9810	1270682580	30	-31	0x1c6a3c43	43973	476724291
9840	1270687527	36	162	0x1c715e72	4294534512	477191794
9870	1270692109	14	118	0x1c7182c5	4294869772	477201093
9900	1270696396	59	-14	0x1c6f48ac	151135	477055148
9930	1270701117	-14	183	0x1c7187c8	4294774877	477202376
9960	1270705782	-56	255	0x1c72c52d	126047	477283629
9990	1270710187	60	75	0x1c749678	59032	477402744
10020	1270714704	3	83	0x1c765a43	4294778978	477518403
10050	1270719560	54	280	0x1c7a8962	4294803675	477792610
10080	1270724086	11	-138	0x1d0080bf	4286398854	486572223
10110	1270728669	33	173	0x1c7e7317	4294956643	478049047
10140	1270732852	-59	-332	0x1c7cb376	137234	477934454
10170	1270737386	54	-3	0x1c7949c9	23922	477710793
10200	1270741898	-47	28	0x1c794961	4294962764	477710689
10230	1270746598	-8	264	0x1c7b769b	4294690327	477853339
10260	1270751265	-49	-74	0x1d00820f	4294966897	486572559
10290	1270755949	-13	17	0x1d0085c0	4294967004	486573504
10320	1270760369	2	-106	0x1d008381	631	486572929
10350	1270764784	-45	-98	0x1d008530	304	486573360
10380	1270768796	-24	-330	0x1c7b44ce	8731931	477840590
10410	1270773112	-57	-205	0x1c7495a8	184150	477402536
10440	1270777435	39	-167	0x1c720c56	124346	477236310
10470	1270781814	-19	-42	0x1c6e495b	36172	476989787
10500	1270786189	9	-63	0x1c6bc59f	4294963342	476824991
10530	1270790737	-26	3	0x1c6d5ee8	4294819596	476929768
10560	1270794919	-15	-17	0x1c65b957	202972	476428631
10590	1270799500	-51	-112	0x1c6986f8	4294767908	476677880
10620	1270803873	33	-210	0x1c664ce0	113341	476466400
10650	1270808387	-44	-86	0x1c660fc8	4294819423	476450760
10680	1270812769	-2	-159	0x1c64b74b	4294957594	476362571
10710	1270817317	21	73	0x1c63e301	4294893223	476308225
10740	1270821750	-23	-138	0x1c649435	4294919960	476353589
10770	1270825981	22	-85	0x1c5e55a7	176765	475944359
10800	1270830737	9	185	0x1c611260	4294766261	476123744
10830	1270835243	-14	20	0x1c60cec2	85273	476106434
10860	1270839643	-56	14	0x1c608000	113162	476086272
10890	1270844257	54	51	0x1c6201c3	4294922832	476185027
10920	1270848990	27	128	0x1c65933b	4294760435	476418875
10950	1270853420	-13	-28	0x1c677443	4294875442	476542019
10980	1270857505	60	-262	0x1c5fd044	239874	476041284
11010	1270861895	13	-60	0x1c5c216e	46240	475799918
11040	1270866385	-4	100	0x1c5ae370	4294933528	475718512
11070	1270870689	-27	-85	0x1c595eb6	100544	475618998
11100	1270875432	14	119	0x1c5bb501	4294899979	475772161
11130	1270880100	-40	254	0x1c5df1f1	4294784796	475918833
11160	1270884170	51	-310	0x1c5935ea	341101	475608554
11190	1270888670	25	-56	0x1c572d38	88687	475475256
11220	1270893462	55	27	0x1c5c1480	4294856727	475796608
11250	1270897955	-23	-130	0x1c5c7bd0	126108	475823056
11280	1270902694	57	112	0x1c5f544f	4294808280	476009551
11310	1270907098	-5	-54	0x1c5e70df	226826	475951327
11340	1270911684	22	10	0x1c618dde	4294889099	476155358
11370	1270915685	4	-172	0x1c59cc6c	287592	475647084
11400	1270920449	59	188	0x1c5ad44d	4294906546	475714637
11430	1270924752	16	-180	0x1c59e84a	107370	475654218
11460	1270929388	11	-41	0x1c5abb26	4294917121	475708198
11490	1270933696	-42	-78	0x1c58a9ac	177829	475572652
11520	1270937926	-54	-63	0x1c5484d0	205267	475301072
11550	1270942268	-55	-81	0x1c5316d5	4294927266	475207381
11580	1270946736	2	0	0x1c51609c	4294948497	475095196
11610	1270950875	19	-209	0x1c4c76fd	302399	474773245
11640	1270955231	-60	-43	0x1c490010	180809	474546192
11670	1270959910	-60	94	0x1c4d4455	4294770469	474825813
11700	1270964545	-35	98	0x1c4df654	4294824724	474871380
11730	1270968684	52	-157	0x1c495c5a	293442	474569818
11760	1270973362	23	97	0x1c4b259a	4294866083	474686874
11790	1270977654	-42	-170	0x1c49f8c7	4294966302	474609863
11820	1270982387	-13	128	0x1c4c2628	4294791583	474752552
11850	1270986926	60	203	0x1c4af28f	4294955905	474673807
11880	1270991282	-9	-205	0x1c4c5160	11802	474763616
11910	1270995806	-55	222	0x1c493de8	4294965771	474562024
11940	1270999859	-7	-147	0x1c451f1f	344949	474291999
11970	1271004376	54	-96	0x1c454a8f	4294964937	474303119
12000	1271008863	34	-98	0x1c44031c	85640	474219292
12030	1271013122	-37	-174	0x1c42a30d	106822	474129165
12060	1271017464	-51	-302	0x1c4269a5	4294947101	474114469
12090	1271022006	-34	-70	0x1c40b604	17758	474002948
12120	1271026356	55	-103	0x1c3ebc32	173179	473873458
12150	1271030398	-9	-138	0x1c3a193f	143107	473569599
12180	1271035042	46	53	0x1c3b00e3	4294878612	473628899
12210	1271039475	-23	105	0x1c39e596	35052	473556374
12240	1271044137	47	196	0x1c3b4a0a	4294928357	473647626
12270	1271048623	36	54	0x1c3b9d61	4294934684	473668961
12300	1271053151	-14	155	0x1c3b64d6	4294939370	473654486
12330	1271057851	1	165	0x1c3dce65	4294824026	473812581
12360	1271062451	51	67	0x1c3f08e7	4294935664	473893095
12390	1271066910	-31	-5	0x1c3f55f9	75864	473912825
12420	1271071278	-34	-147	0x1c3dec8d	89618	473820301
12450	1271075795	-39	24	0x1c3dd5d2	30755	473814482
12480	1271080106	-13	70	0x1c3bd709	141666	473683721
12510	1271084361	-27	-265	0x1c3a9163	103479	473600355
12540	1271088845	54	16	0x1c3884d8	32477	473466072
12570	1271093213	59	-24	0x1c3783d1	63195	473400273
12600	1271097939	42	154	0x1c386bfb	4294926815	473459707
12630	1271102572	-26	71	0x1c3b25da	4294899088	473638362
12660	1271106837	-29	-137	0x1c39124b	150677	473502283
12690	1271111450	-52	62	0x1c3a063e	4294841882	473564734
12720	1271116195	-38	306	0x1c3bf5dc	4294755647	473691612
12750	1271120798	11	61	0x1c3ca515	32313	473736469
12780	1271124909	11	-314	0x1c3b2d80	174115	473640320
12810	1271129705	57	241	0x1c3ae968	4294849439	473622888
12840	1271134321	29	25	0x1c3dd081	4294930690	473813121
12870	1271138669	38	-25	0x1c3c7671	77218	473724529
12900	1271143271	-26	176	0x1c3b92c2	13468	473666242
12930	1271147928	4	208	0x1c3e5ac8	4294909314	473848520
12960	1271152609	-54	124	0x1c4074c2	4294906351	473986242
12990	1271157029	-47	-39	0x1c41536c	4294891810	474043244
13020	1271161469	52	-101	0x1c3fc062	44585	473940066
13050	1271166176	-13	8	0x1c427286	4294776545	474116742
13080	1271170603	40	86	0x1c3fd621	141435	473945633
13110	1271175308	56	86	0x1c42a12b	4294924662	474128683
13140	1271180094	-32	357	0x1c4573b7	4294818720	474313655
13170	1271184668	6	-75	0x1c4a74ba	4294856179	474641594
13200	1271189409	15	212	0x1c497dd2	4294893390	474578386
13230	1271193492	-15	-288	0x1c48f1a5	168920	474542501
13260	1271198037	-9	20	0x1c45d480	9684	474338432
13290	1271202546	-42	-55	0x1c4783d4	4294901955	474448852
13320	1271207144	25	94	0x1c465294	4294965574	474370708
13350	1271211763	44	45	0x1c482029	4294954733	474488873
13380	1271216157	-8	12	0x1c48c8a2	4294922418	474532002
13410	1271220662	-13	-4	0x1c48907b	4294913783	474517627
13440	1271225147	60	43	0x1c479514	4294958186	474453268
13470	1271229372	-37	5	0x1c453c4f	95187	474299471
13500	1271233657	6	-97	0x1c40f12c	156814	474018092
13530	1271238311	-19	109	0x1c434896	4294812087	474171542
13560	1271242778	-23	106	0x1c41bf71	117896	474070897
13590	1271247278	34	197	0x1c41901a	24522	474058778
13620	1271251472	-48	-327	0x1c427d5b	22047	474119515
13650	1271256226	-50	226	0x1c418b14	4294853307	474057492
13680	1271261162	-55	127	0x1c4817e7	4294640849	474486759
13710	1271265360	-38	-134	0x1c458c0d	150025	474319885
13740	1271269945	12	32	0x1c440634	4294965325	474220084
13770	1271274800	56	163	0x1c48bd08	4294736149	474529032
13800	1271279447	-31	30	0x1c4b3558	4294941492	474690904
13830	1271284134	8	172	0x1c4d51dd	4294835598	474829277
13860	1271288632	30	-41	0x1c4df61b	61138	474871323
13890	1271293029	-28	-99	0x1c4c49b9	113103	474761657
13920	1271297524	-13	53	0x1c4bb767	71449	474724199
