nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
11700	1271553165	2	865	0x200f4341	4294955055	537871169
11730	1271559174	67	872	0x200f9f49	4294957136	537894729
11760	1271565313	47	947	0x200ff730	4294962627	537917232
11790	1271571367	28	831	0x200f3b54	4294961098	537869140
11820	1271577329	41	914	0x200f5d45	4294952283	537877829
11850	1271583110	53	670	0x200f6c62	4294966747	537881698
11880	1271589063	62	796	0x200f568d	4998	537876109
11910	1271594985	35	888	0x200f3f5c	18015	537870172
11940	1271600905	67	785	0x200fb476	4294958861	537900150
11970	1271606776	39	720	0x200feb4b	4294959664	537914187
12000	1271612845	100	992	0x201002b9	4294950133	537920185
12030	1271618985	86	1009	0x200fe582	4294904867	537912706
12060	1271624783	28	778	0x200e97d4	93894	537827284
12090	1271631023	57	839	0x20102751	4294957776	537929553
12120	1271637038	57	923	0x200fe456	4294869369	537912406
12150	1271642860	59	837	0x200fab7b	4294963542	537897851
12180	1271649059	70	864	0x200f37dd	35439	537868253
12210	1271654901	10	702	0x200f6dda	4294930353	537882074
12240	1271660925	92	820	0x200f7fb7	4294961699	537886647
12270	1271666924	61	798	0x200fdeab	4294959424	537910955
12300	1271672939	56	1018	0x20100624	4294948869	537921060
12330	1271679102	10	968	0x200f0d68	71249	537857384
12360	1271684767	33	663	0x200f2f1e	4294947471	537866014
12390	1271691118	17	1092	0x200fbf50	4294928059	537902928
12420	1271697028	11	843	0x200e9f4a	82511	537829194
12450	1271702990	91	758	0x200f6ac3	4278181267	537881283
12480	1271708741	19	598	0x200f7558	2669	537883992
12510	1271714576	6	772	0x200f20cc	3199	537862348
12540	1271720873	24	1104	0x200fa53d	4278121853	537896253
12570	1271726950	40	740	0x200ea509	90870	537830665
12600	1271732772	49	840	0x200f7081	19419	537882753
12630	1271738891	69	792	0x200ff158	4294930152	537915736
12660	1271744805	77	811	0x200fad4c	16321	537898316
