nHeight	timeStamp	与每块标准出块时间差值	与每17块标准时间差值	nBits 16hex	每块难度差值	nBits
7860	1270001360	-64	-963	0x12043c04	38942	302267396
7890	1270004351	-49	-771	0x12035401	31038	302208001
7920	1270007323	-44	-899	0x1202aaa4	24067	302164644
7950	1270010471	-32	-782	0x1202233a	19364	302129978
7980	1270013373	-67	-812	0x1201af51	17517	302100305
8010	1270016476	-81	-682	0x12015dff	11651	302079487
8040	1270019428	-14	-879	0x12011673	10982	302061171
8070	1270022611	-64	-696	0x1200e0e6	6818	302047462
8100	1270025731	-30	-685	0x1200b75c	5215	302036828
8130	1270028837	-91	-729	0x1200951d	5175	302028061
8160	1270031935	-44	-717	0x11795dc5	8858238	293166533
8190	1270034776	-98	-918	0x115f9d73	960464	291478899
8220	1270037833	-16	-913	0x114c4bc6	653519	290212806
8250	1270040996	-22	-736	0x113d4390	512590	289227664
8280	1270044072	-53	-733	0x11316845	429480	288450629
8310	1270047206	-68	-867	0x11289e71	337708	287874673
8340	1270050272	-86	-880	0x1120d667	279318	287364711
8370	1270053305	-89	-808	0x111a0e4d	238433	286920269
8400	1270056404	-79	-873	0x11154642	164540	286606914
8430	1270059439	-99	-601	0x1110a04f	159071	286302287
8460	1270062396	-65	-942	0x110d8988	122042	286099848
8490	1270065409	-92	-803	0x110ad88b	86029	285923467
8520	1270068402	-28	-773	0x1108abee	68576	285780974
8550	1270071562	0	-568	0x1106c996	59628	285657494
8580	1270074671	-25	-704	0x11058afa	50849	285575930
8610	1270077709	-25	-802	0x11047c72	41091	285506674
8640	1270080728	-70	-875	0x11039c01	34611	285449217
8670	1270083853	-42	-738	0x1102e863	25025	285403235
8700	1270087001	-4	-589	0x11025ac0	20139	285366976
8730	1270090159	-36	-728	0x1101edd9	17934	285339097
8760	1270093179	-8	-846	0x1101905f	13363	285315167
8790	1270096030	-16	-1088	0x11013d9d	12722	285293981
8820	1270098997	-53	-848	0x1100f715	8593	285275925
8850	1270102061	-13	-753	0x1100c293	7926	285262483
8880	1270105315	-35	-885	0x1100a75e	3828	285255518
8910	1270108325	-17	-896	0x11008666	3769	285247078
8940	1270111288	-75	-1045	0x106acc10	933190	275434512
8970	1270114292	-83	-916	0x10532218	751915	273883672
9000	1270117280	-4	-947	0x1041c7db	681072	272746459
9030	1270120203	-21	-830	0x10337522	558244	271807778
9060	1270123196	-79	-900	0x102a0874	346464	271190132
9090	1270126478	-14	-647	0x1021ce8a	268731	270651018
9120	1270129304	-62	-1022	0x101b3412	273955	270218258
9150	1270132262	-69	-913	0x101575d6	185500	269841878
9180	1270134972	-75	-1095	0x1010afef	167655	269529071
9210	1270137833	-12	-805	0x100c99ee	123681	269261294
9240	1270141073	-73	-661	0x100a2f51	79070	269102929
9270	1270144075	-29	-984	0x10086108	71446	268984584
9300	1270147060	-35	-818	0x10069155	60040	268865877
9330	1270150023	-53	-829	0x10053929	51788	268777769
9360	1270153211	-92	-791	0x100445a1	32445	268715425
9390	1270156147	-43	-804	0x10035796	33981	268654486
9420	1270159072	-27	-758	0x1002a90a	25009	268609802
9450	1270161986	-68	-929	0x1002168b	22849	268572299
9480	1270165057	-98	-836	0x1001b422	12593	268547106
9510	1270167947	-71	-969	0x1001540f	13301	268522511
9540	1270170911	-15	-855	0x10010a59	10509	268503641
9570	1270173721	-10	-903	0x1000d00d	8132	268488717
9600	1270176703	-37	-977	0x1000a5b5	5768	268477877
9630	1270179805	-25	-775	0x10008582	4464	268469634
9660	1270182801	-92	-890	0x0f691b6a	1027800	258546538
9690	1270185896	-22	-914	0x0f557a42	720988	257260098
9720	1270189005	-17	-711	0x0f450d98	559618	256183704
9750	1270192036	-32	-857	0x0f37405c	542298	255279196
9780	1270195097	-60	-792	0x0f2c68ba	367664	254568634
9810	1270198069	-48	-926	0x0f23e089	275175	254009481
9840	1270201176	-42	-845	0x0f1c4bd4	283037	253512660
9870	1270203929	-88	-964	0x0f1664bf	240356	253125823
9900	1270206629	-68	-1006	0x0f1121bc	170830	252780988
9930	1270209719	-7	-840	0x0f0d6dd6	115864	252538326
9960	1270212741	-6	-936	0x0f0ae67d	93199	252372605
9990	1270215854	-91	-758	0x0f08b5d2	75681	252229074
10020	1270218454	-81	-977	0x0f06b570	76154	252097904
10050	1270221356	-37	-869	0x0f052947	51852	251996487
10080	1270224506	-52	-806	0x0f042dad	37522	251932077
10110	1270227585	-67	-725	0x0f035d38	26333	251878712
10140	1270230789	-24	-822	0x0f02cad4	20342	251841236
10170	1270233960	-2	-653	0x0f023928	21147	251803944
10200	1270236951	-2	-832	0x0f01cfca	16481	251776970
10230	1270239945	-69	-790	0x0f017405	11787	251753477
10260	1270243022	-25	-807	0x0f012c41	8421	251735105
10290	1270245981	-19	-955	0x0f00ecb2	8767	251718834
10320	1270248983	-29	-806	0x0f00bafe	7354	251706110
10350	1270252044	-77	-813	0x0f009862	5055	251697250
10380	1270255297	-8	-605	0x0e7addaa	8760160	242933162
10410	1270258226	-89	-917	0x0e6380f7	921564	241402103
10440	1270261451	-28	-666	0x0e50bb6d	643678	240171885
10470	1270264472	-27	-811	0x0e410d05	614833	239144197
10500	1270267554	-100	-724	0x0e340efd	457837	238292733
10530	1270270485	-82	-930	0x0e29c17b	409084	237617531
10560	1270273749	-47	-773	0x0e223728	242468	237123368
10590	1270276808	-3	-828	0x0e1bd543	245944	236705091
10620	1270279900	-32	-766	0x0e166c7a	189784	236350586
10650	1270282963	-96	-918	0x0e124659	143480	236078681
10680	1270286051	-40	-895	0x0e0ea811	109240	235841553
10710	1270288745	-79	-1098	0x0e0b34f9	138225	235615481
10740	1270292270	-60	-481	0x0e0969b4	42143	235497908
10770	1270295495	-99	-849	0x0e07f2ad	58346	235401901
10800	1270298415	-97	-881	0x0e063fce	57094	235290574
10830	1270301248	-95	-891	0x0e04e5b5	41696	235201973
10860	1270304045	-51	-907	0x0e03bd1c	37672	235126044
10890	1270306795	-23	-893	0x0e02d627	30744	235066919
10920	1270309940	-6	-838	0x0e024b9e	21220	235031454
10950	1270313086	-81	-888	0x0e01e634	14659	235005492
